"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Mind Map","Create Relationship","Ctrl+L","Editing Mind Map"
"File","Save","Ctrl+S","In Windows"
"Text Edit","Underline","Ctrl+U","In Notes Popup Dialog"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Mind Map","Create a sheet from","Ctrl+Alt+Е","Editing Mind Map"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Edit","Italic","Ctrl+Ш","In Notes View"
"Mind Map","Traverse","Shift+Tab","Traversing"
"Mind Map","Modify Topic Hyperlink","Ctrl+Р","Editing Mind Map"
"Mind Map","Go to Notes View","F4","In Notes Popup Dialog"
"Mind Map","Edit Title","F2","Editing Mind Map"
"Text Edit","Center Alignment","Ctrl+В","In Notes View"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 5)","Ctrl+5","Editing Mind Map"
"Text Edit","Center Alignment","Ctrl+В","In Notes Popup Dialog"
"Text Edit","Center Alignment","Ctrl+D","In Notes View"
"Text Edit","Left Alignment","Ctrl+Д","In Notes View"
"Edit","Undo","Ctrl+Я","In Dialogs and Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Mind Map","Modify Topic Hyperlink","Ctrl+H","Editing Mind Map"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Text Edit","Underline","Ctrl+Г","In Notes View"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Window","Maximize Active View or Editor","Ctrl+Ь","In Windows"
"Text Edit","Bold","Ctrl+И","In Notes View"
"Text Edit","Right Alignment","Ctrl+К","In Notes Popup Dialog"
"Mind Map","Insert Image","Ctrl+Ш","Editing Mind Map"
"Edit","Undo","Shift+Ctrl+-","In Windows"
"Edit","Select All","Ctrl+Ф","In Dialogs and Windows"
"Text Edit","Italic","Ctrl+I","In Notes View"
"Mind Map","Insert Subtopic","Tab","Editing Mind Map"
"Navigate","Expand All","Shift+Ctrl+Т","In Windows"
"Edit","Paste","Ctrl+М","In Dialogs and Windows"
"Mind Map","Open Workbook","Ctrl+Щ","In Windows"
"File","Save All","Ctrl+X S","In Windows"
"Mind Map","New Sheet","Ctrl+Е","Editing Mind Map"
"Edit","Context Information","Alt+?","In Windows"
"View","Actual Size","Ctrl+0","In MindMap Editor"
"View","Select Children","Ctrl+Alt+A","In MindMap Editor"
"Text Edit","Bold","Ctrl+B","In Notes Popup Dialog"
"File","Save","Ctrl+Ы","In Windows"
"Window","Quick Switch Editor","Ctrl+У","In Windows"
"Edit","Context Information","Shift+Alt+?","In Windows"
"File","Print","Alt+F9","In Windows"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Mind Map","Quick Add Marker (Marker: Task Priority -> Priority 6)","Ctrl+6","Editing Mind Map"
"Mind Map","Open Workbook","Ctrl+O","In Windows"
"Mind Map","Move Up","Alt+Up","Editing Mind Map"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Text Edit","Left Alignment","Ctrl+L","In Notes Popup Dialog"
"Edit","Redo","F10","In Windows"
"Mind Map","Move Right","Alt+Right","Editing Mind Map"
"Edit","Redo","Shift+Ctrl++","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Edit","Italic","Ctrl+I","In Notes Popup Dialog"
"Edit","Cut","Ctrl+Ч","In Dialogs and Windows"
"Text Edit","Bold","Ctrl+B","In Notes View"
"Window","New XMind Workbook","Shift+Ctrl+Т","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"View","Select Brothers","Shift+Ctrl+Ф","In MindMap Editor"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Mind Map","Collapse All","/","Editing Mind Map"
"Mind Map","Commit Notes","Ctrl+Enter","In Notes View"
"View","Drill Down","F6","In MindMap Editor"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"File","Rename","F2","In Windows"
"Edit","Delete","Delete","In Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"File","Print","Ctrl+З","In Windows"
"Text Edit","Bold","Ctrl+И","In Notes Popup Dialog"
"Text Edit","Italic","Ctrl+Ш","In Notes Popup Dialog"
"File","Close All","Shift+Ctrl+Ц","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Mind Map","Create Relationship","Ctrl+Д","Editing Mind Map"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Mind Map","Collapse","-","Editing Mind Map"
"Mind Map","Commit Notes","Ctrl+Enter","In Notes Popup Dialog"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"View","Start Presentation","F5","In MindMap Editor"
"File","Save All","Shift+Ctrl+Ы","In Windows"
"View","Drill Up","Shift+F6","In MindMap Editor"
"Mind Map","Move Left","Alt+Left","Editing Mind Map"
"File","Close All","Shift+Ctrl+W","In Windows"
"File","Print","Esc F9","In Windows"
"Mind Map","Insert Subtopic","Insert","Editing Mind Map"
"Mind Map","Finish","Enter","Traversing"
"File","Close","Ctrl+Ц","In Windows"
